ONS_ITEM_NAME,MEAN_COUNT,MEAN_7DAY,Dif:TODAY-MEAN,Dif:TODAY-7DAYMEAN,2016_11_02,2016_11_01,2016_10_31,2016_10_30,2016_10_29,2016_10_28,2016_10_27,2016_10_26,2016_10_25,2016_10_24,2016_10_19,2016_10_18,2016_10_17,2016_10_16,2016_10_15,2016_10_14,2016_10_12,2016_10_11,2016_10_10,2016_10_09,2016_10_08,2016_10_07,2016_10_06,2016_10_05,2016_10_04,2016_10_03,2016_09_23,2016_09_22,2016_09_21,2016_09_20,2016_09_19,2016_09_18,2016_09_17,2016_09_16,2016_09_15,2016_09_14,2016_09_10,2016_09_09,2016_09_07,2016_09_06,2016_09_05,2016_09_04,2016_09_03,2016_09_02,2016_08_31,2016_08_30,2016_08_29,2016_08_28,2016_08_27,2016_08_26,2016_08_25,2016_08_24,2016_08_23,2016_08_22,2016_08_21,2016_08_20,2016_08_19,2016_08_18,2016_08_17,2016_08_11,2016_08_10,2016_08_09,2016_08_08,2016_08_06,2016_08_05,2016_08_04,2016_08_03,2016_08_02,2016_08_01,2016_07_26,2016_07_25,2016_07_23,2016_07_22,2016_07_20,2016_07_13,2016_07_11,2016_07_10,2016_07_09,2016_07_08,2016_07_07,2016_07_05,2016_07_04,2016_07_03,2016_07_02,2016_07_01,2016_06_30,2016_06_29,2016_06_28,2016_06_27,2016_06_26,2016_06_25,2016_06_24,2016_06_23,2016_06_22,2016_06_21,2016_06_20,2016_06_19,2016_06_18,2016_06_17,2016_06_16,2016_06_15,2016_06_14,2016_06_13,2016_06_12,2016_06_11,2016_06_10,2016_06_09,2016_06_07,2016_06_04,2016_05_25,2016_05_20,2016_05_19,2016_05_18,2015_11_04,2015_11_03,2014_11_26,2014_11_25,2014_07_24,2014_07_23,2014_07_22,2014_07_21,2014_07_20,2014_07_19,2014_07_18,2014_07_17,2014_07_16,2014_07_15,2014_07_14,2014_07_13,2014_07_12,2014_07_11,2014_07_10,2014_07_09,2014_07_08,2014_07_07,2014_07_06,2014_07_05,2014_07_04,2014_07_03,2014_07_02,2014_07_01,2014_06_30,2014_06_29,2014_06_28,2014_06_27,2014_06_26,2014_06_25,2014_06_24,2014_06_23,2014_06_22,2014_06_21,2014_06_20,2014_06_19,2014_06_18,2014_06_17,2014_06_16,2014_06_15,2014_06_14,2014_06_13,2014_06_12,2014_06_11,2014_06_10,2014_06_09,2014_06_08,2014_06_07,2014_06_06,2014_06_05
"Fresh Veg, Onions, per kg",21,22,1,0,22,22,22,22,22,22,22,22,22,22,21,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21.0,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21,21,21,21.0,21.0,21.0,21.0,21,21,21,21,21,21,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,0.0,22.0,22.0,22.0,21.0,21.0,25.0,25.0,20.0,20.0,20.0,20.0,20.0,19.0,20.0,20.0,19.0,20.0,19.0,19.0,19.0,19.0,21.0,21.0,19.0,19.0,19.0,21.0,20.0,21.0,21.0,21.0,21.0,21.0,21.0,22.0,22.0,21.0,21.0,22.0,21.0,21.0,21.0,21.0,22.0,21.0,22.0,22.0,21.0,22.0,21.0,23.0,23.0,27.0,25.0,25.0,25.0,25.0
"Fresh Veg, Tomatoes, per kg",19,12,-4,3,15,15,12,12,12,12,12,12,12,12,13,9,9,8,8,8,14,14,14,14,14,14,14,15,15,15,16,16,16,16,16,16,16,16,16,17,17,17,17,17,17,17,17,16,16.0,16,16,16,16,18,18,18,18,18,18,18,18,18,18,20,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,19.0,19.0,20.0,20.0,20.0,19,19,20,20.0,20.0,20.0,21.0,21,21,21,21,21,20,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,20.0,19.0,0.0,18.0,18.0,18.0,16.0,18.0,22.0,22.0,24.0,22.0,24.0,23.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,26.0,23.0,25.0,24.0,24.0,24.0,24.0,25.0,25.0,24.0,24.0,24.0,24.0,25.0,24.0,24.0,24.0,24.0,25.0,25.0,25.0,24.0,24.0,25.0,24.0,24.0,26.0,25.0,25.0,25.0,25.0
"Fresh/Chilled Orange Juice, eg. Tropicana",146,144,-1,1,145,145,144,144,144,145,145,147,147,147,147,149,149,149,149,147,147,147,147,147,147,145,144,147,147,147,148,148,148,148,148,148,148,148,149,149,145,146,147,145,143,143,143,144,145.0,145,145,145,145,145,145,145,145,145,145,145,145,140,140,141,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,143.0,144.0,144.0,144.0,144.0,143,143,143,142.0,142.0,142.0,142.0,142,142,142,142,142,142,142.0,142.0,142.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,142.0,142.0,142.0,142.0,142.0,142.0,144.0,144.0,139.0,139.0,0.0,140.0,140.0,140.0,133.0,133.0,155.0,155.0,155.0,155.0,152.0,152.0,152.0,152.0,152.0,152.0,152.0,151.0,150.0,150.0,151.0,151.0,152.0,151.0,151.0,151.0,152.0,151.0,151.0,155.0,155.0,155.0,155.0,155.0,146.0,153.0,153.0,154.0,154.0,150.0,150.0,150.0,150.0,150.0,150.0,153.0,153.0,153.0,153.0,154.0,151.0,152.0,152.0,152.0,153.0,153.0,153.0,153.0
"Lager, 4 bottles, 4.3%-7.5% ABV",74,23,-51,0,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23.0,23,23,23,23,23,23,23,23,23,23,23,22,22,22,22,22.0,22.0,22.0,22.0,22.0,22.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23,23,23,23.0,23.0,0.0,126.0,126,126,127,127,126,126,126.0,126.0,126.0,127.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,127.0,127.0,0.0,128.0,126.0,126.0,112.0,112.0,116.0,116.0,121.0,121.0,121.0,121.0,120.0,120.0,120.0,120.0,121.0,121.0,122.0,123.0,122.0,123.0,123.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,113.0,114.0,115.0,115.0,115.0,114.0,114.0,114.0,115.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,117.0,116.0,118.0,117.0,117.0,115.0,115.0,117.0,117.0
Plain Biscuits (eg. Digestive),85,75,-10,0,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,74,74,73,73,73,74,74,75,75,75,75,75,75,75,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74.0,74,74,74,74,74,74,74,74,74,74,73,73,70,70,69,69.0,69.0,69.0,69.0,69.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,69,70,70,70.0,70.0,70.0,61.0,70,70,70,70,70,70,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,65.0,65.0,65.0,65.0,65.0,64.0,64.0,62.0,0.0,64.0,64.0,64.0,65.0,65.0,128.0,128.0,117.0,117.0,119.0,119.0,120.0,119.0,119.0,119.0,121.0,121.0,119.0,118.0,119.0,119.0,119.0,120.0,117.0,116.0,116.0,115.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,113.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,113.0,113.0,114.0,113.0,113.0
"Potatoes, old, white",33,31,-2,0,31,31,31,31,31,31,31,31,31,31,29,28,28,29,29,29,30,30,30,30,30,30,30,30,30,30,30,30,30,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31.0,31,31,31,31,31,31,31,31,31,31,31,31,32,32,33,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33,35,35,35.0,35.0,35.0,0.0,35,35,35,35,35,35,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,35.0,35.0,35.0,36.0,36.0,36.0,36.0,0.0,35.0,35.0,35.0,35.0,35.0,42.0,0.0,31.0,31.0,36.0,35.0,36.0,35.0,35.0,35.0,37.0,35.0,36.0,35.0,22.0,35.0,36.0,36.0,35.0,35.0,35.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,35.0,36.0,35.0,37.0,38.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,37.0,36.0,36.0,39.0,40.0,39.0,39.0,39.0,39.0,39.0
"RUM, WHITE, BOTTLE",44,46,2,0,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47.0,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,43,43,43,43.0,43.0,43.0,0.0,43,43,43,43,43,43,43.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,0.0,42.0,42.0,42.0,41.0,41.0,41.0,41.0,41.0,41.0,42.0,41.0,41.0,41.0,41.0,41.0,40.0,42.0,41.0,41.0,40.0,40.0,41.0,41.0,44.0,41.0,40.0,40.0,40.0,42.0,42.0,42.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,42.0,43.0,42.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,42.0
"Red Wine, European, bottle",259,259,0,0,259,258,258,260,260,260,260,261,261,261,263,263,263,263,263,263,263,263,263,263,263,263,262,262,261,260,260,260,260,260,260,260,260,260,261,261,262,262,263,263,263,263,263,263,263.0,263,263,263,263,263,263,263,263,263,263,263,264,260,260,260,260.0,260.0,260.0,260.0,260.0,260.0,260.0,259.0,260.0,259.0,259.0,259.0,259.0,259.0,259,259,258,258.0,258.0,259.0,0.0,259,259,260,260,259,259,259.0,259.0,259.0,257.0,257.0,257.0,256.0,256.0,256.0,256.0,256.0,255.0,256.0,258.0,257.0,257.0,257.0,257.0,258.0,258.0,255.0,254.0,0.0,256.0,256.0,256.0,225.0,225.0,266.0,266.0,236.0,249.0,262.0,262.0,264.0,263.0,262.0,262.0,263.0,264.0,265.0,263.0,264.0,253.0,264.0,265.0,264.0,264.0,263.0,265.0,266.0,265.0,265.0,265.0,261.0,260.0,261.0,254.0,258.0,257.0,254.0,254.0,258.0,254.0,257.0,254.0,254.0,255.0,251.0,254.0,257.0,258.0,263.0,256.0,256.0,261.0,258.0,260.0,259.0,260.0
"Shop Milk, whole milk",45,47,3,1,48,48,48,48,48,47,47,47,47,47,47,47,47,47,47,47,48,48,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47.0,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47,47,47,47.0,47.0,47.0,0.0,47,47,47,47,47,47,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,0.0,47.0,0.0,47.0,47.0,47.0,41.0,41.0,43.0,43.0,41.0,41.0,50.0,47.0,45.0,44.0,44.0,44.0,44.0,43.0,41.0,41.0,41.0,41.0,43.0,43.0,41.0,43.0,45.0,43.0,46.0,47.0,47.0,46.0,46.0,47.0,46.0,45.0,45.0,50.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,46.0,46.0,33.0,37.0,37.0,34.0,35.0
"Spreadable butter, 500g, 40-70% butter content",35,29,-6,0,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,28,28,28,28,28,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29.0,29,29,29,29,29,29,29,29,29,28,28,28,28,28,29,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29,29,29,29.0,29.0,29.0,0.0,29,29,29,29,29,29,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,0.0,25.0,0.0,25.0,25.0,25.0,23.0,23.0,48.0,48.0,52.0,52.0,53.0,52.0,51.0,52.0,50.0,50.0,50.0,50.0,51.0,50.0,50.0,51.0,51.0,51.0,50.0,50.0,50.0,50.0,50.0,49.0,49.0,47.0,48.0,48.0,50.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,49.0,48.0,48.0,48.0,48.0
"Strawberries, per kg or per punnet",17,9,-8,0,9,9,8,9,9,10,11,11,11,11,8,4,4,4,4,4,8,8,8,8,7,7,10,9,9,9,15,15,15,15,15,15,15,15,15,15,14,14,14,14,14,14,14,12,12.0,14,14,14,15,14,14,13,13,14,14,14,14,16,16,19,20.0,21.0,21.0,21.0,21.0,22.0,22.0,22.0,22.0,23.0,23.0,23.0,23.0,23.0,24,24,24,21.0,19.0,19.0,0.0,19,19,19,20,20,20,19.0,18.0,19.0,19.0,19.0,20.0,20.0,19.0,19.0,19.0,18.0,19.0,19.0,18.0,18.0,18.0,19.0,19.0,19.0,20.0,19.0,17.0,0.0,14.0,15.0,15.0,7.0,7.0,15.0,15.0,20.0,20.0,25.0,24.0,23.0,21.0,21.0,22.0,21.0,22.0,24.0,20.0,21.0,19.0,22.0,22.0,22.0,19.0,21.0,22.0,22.0,23.0,23.0,22.0,24.0,24.0,23.0,22.0,22.0,21.0,22.0,22.0,22.0,23.0,24.0,23.0,24.0,24.0,23.0,21.0,20.0,21.0,20.0,19.0,19.0,14.0,15.0,15.0,14.0,14.0
