rb test      Unnamed: 0        date  waitroses_count
78           78  2014-05-16            472.0
79           79  2014-05-15            472.0
80           80  2014-05-14            471.0
81           81  2014-05-12            472.0
82           82  2014-05-11            473.0
83           83  2014-05-10            473.0
84           84  2014-05-09            604.0
85           85  2014-05-08            604.0
86           86  2014-05-07            602.0
87           87  2014-05-06            602.0
88           88  2014-05-02            602.0
89           89  2014-05-01            600.0
90           90  2014-04-30            600.0
91           91  2014-04-28            578.0
92           92  2014-04-27            568.0
93           93  2014-04-26            580.0
94           94  2014-04-25            580.0
95           95  2014-04-24            586.0
96           96  2014-04-23            605.0
97           97  2014-04-22            653.0
98           98  2014-04-17            653.0
99           99  2014-04-16            651.0
100         100  2014-04-15            651.0

[101 rows x 3 columns]
rb test      Unnamed: 0        date  waitroses_count
0             0  2016-05-19            913.0
1             0  2016-05-18            916.0
2             1  2015-11-04            663.0
3             2  2015-11-03            665.0
4             3  2014-11-26            698.0
5             4  2014-11-25            698.0
6             5  2014-07-24            698.0
7             6  2014-07-23            698.0
8             7  2014-07-22            699.0
9             8  2014-07-21            698.0
10            9  2014-07-20            697.0
11           10  2014-07-19            697.0
12           11  2014-07-18            697.0
13           12  2014-07-17            697.0
14           13  2014-07-16            697.0
15           14  2014-07-15            698.0
16           15  2014-07-14            699.0
17           16  2014-07-13            700.0
18           17  2014-07-12            700.0
19           18  2014-07-11            700.0
20           19  2014-07-10            700.0
21           20  2014-07-09            700.0
22           21  2014-07-08            698.0
23           22  2014-07-07            698.0
24           23  2014-07-06            698.0
25           24  2014-07-05            698.0
26           25  2014-07-04            698.0
27           26  2014-07-03            674.0
28           27  2014-07-02            674.0
29           28  2014-07-01            673.0
..          ...         ...              ...
73           72  2014-05-23            473.0
74           73  2014-05-22            473.0
75           74  2014-05-21            450.0
76           75  2014-05-20            472.0
77           76  2014-05-19            472.0
78           77  2014-05-18            472.0
79           78  2014-05-17            472.0
80           79  2014-05-16            472.0
81           80  2014-05-15            472.0
82           81  2014-05-14            471.0
83           82  2014-05-12            472.0
84           83  2014-05-11            473.0
85           84  2014-05-10            473.0
86           85  2014-05-09            604.0
87           86  2014-05-08            604.0
88           87  2014-05-07            602.0
89           88  2014-05-06            602.0
90           89  2014-05-02            602.0
91           90  2014-05-01            600.0
92           91  2014-04-30            600.0
93           92  2014-04-28            578.0
94           93  2014-04-27            568.0
95           94  2014-04-26            580.0
96           95  2014-04-25            580.0
97           96  2014-04-24            586.0
98           97  2014-04-23            605.0
99           98  2014-04-22            653.0
100          99  2014-04-17            653.0
101         100  2014-04-16            651.0
102         101  2014-04-15            651.0

[103 rows x 3 columns]
rb test      Unnamed: 0        date  waitroses_count
0             0  2016-05-19            913.0
1             0  2016-05-18            916.0
2             1  2015-11-04            663.0
3             2  2015-11-03            665.0
4             3  2014-11-26            698.0
5             4  2014-11-25            698.0
6             5  2014-07-24            698.0
7             6  2014-07-23            698.0
8             7  2014-07-22            699.0
9             8  2014-07-21            698.0
10            9  2014-07-20            697.0
11           10  2014-07-19            697.0
12           11  2014-07-18            697.0
13           12  2014-07-17            697.0
14           13  2014-07-16            697.0
15           14  2014-07-15            698.0
16           15  2014-07-14            699.0
17           16  2014-07-13            700.0
18           17  2014-07-12            700.0
19           18  2014-07-11            700.0
20           19  2014-07-10            700.0
21           20  2014-07-09            700.0
22           21  2014-07-08            698.0
23           22  2014-07-07            698.0
24           23  2014-07-06            698.0
25           24  2014-07-05            698.0
26           25  2014-07-04            698.0
27           26  2014-07-03            674.0
28           27  2014-07-02            674.0
29           28  2014-07-01            673.0
..          ...         ...              ...
73           72  2014-05-23            473.0
74           73  2014-05-22            473.0
75           74  2014-05-21            450.0
76           75  2014-05-20            472.0
77           76  2014-05-19            472.0
78           77  2014-05-18            472.0
79           78  2014-05-17            472.0
80           79  2014-05-16            472.0
81           80  2014-05-15            472.0
82           81  2014-05-14            471.0
83           82  2014-05-12            472.0
84           83  2014-05-11            473.0
85           84  2014-05-10            473.0
86           85  2014-05-09            604.0
87           86  2014-05-08            604.0
88           87  2014-05-07            602.0
89           88  2014-05-06            602.0
90           89  2014-05-02            602.0
91           90  2014-05-01            600.0
92           91  2014-04-30            600.0
93           92  2014-04-28            578.0
94           93  2014-04-27            568.0
95           94  2014-04-26            580.0
96           95  2014-04-25            580.0
97           96  2014-04-24            586.0
98           97  2014-04-23            605.0
99           98  2014-04-22            653.0
100          99  2014-04-17            653.0
101         100  2014-04-16            651.0
102         101  2014-04-15            651.0

[103 rows x 3 columns]
rb test      Unnamed: 0        date  waitroses_count
0             0  2016-05-20            392.0
