ONS_ITEM_NAME,MEAN_COUNT,MEAN_7DAY,Dif:TODAY-MEAN,Dif:TODAY-7DAYMEAN,2016_11_02,2016_11_01,2016_10_31,2016_10_30,2016_10_29,2016_10_28,2016_10_27,2016_10_26,2016_10_25,2016_10_24,2016_10_19,2016_10_18,2016_10_17,2016_10_16,2016_10_15,2016_10_14,2016_10_12,2016_10_11,2016_10_10,2016_10_09,2016_10_08,2016_10_07,2016_10_06,2016_10_05,2016_10_04,2016_10_03,2016_09_23,2016_09_22,2016_09_21,2016_09_20,2016_09_19,2016_09_18,2016_09_17,2016_09_16,2016_09_15,2016_09_14,2016_09_13,2016_09_11,2016_09_09,2016_09_07,2016_09_06,2016_09_05,2016_09_04,2016_09_03,2016_09_02,2016_09_01,2016_08_31,2016_08_30,2016_08_29,2016_08_28,2016_08_27,2016_08_26,2016_08_25,2016_08_24,2016_08_23,2016_08_22,2016_08_21,2016_08_20,2016_08_19,2016_08_18,2016_08_17,2016_08_16,2016_08_15,2016_08_13,2016_08_12,2016_08_11,2016_08_10,2016_08_09,2016_08_08,2016_08_07,2016_08_06,2016_08_05,2016_08_04,2016_08_03,2016_08_02,2016_08_01,2016_07_25,2016_07_24,2016_07_23,2016_07_22,2016_07_20,2016_07_15,2016_07_13,2016_07_12,2016_07_11,2016_07_10,2016_07_09,2016_07_08,2016_07_07,2016_07_06,2016_07_05,2016_07_04,2016_07_03,2016_07_02,2016_07_01,2016_06_30,2016_06_29,2016_06_28,2016_06_27,2016_06_26,2016_06_25,2016_06_24,2016_06_23,2016_06_22,2016_06_21,2016_06_20,2016_06_19,2016_06_18,2016_06_17,2016_06_16,2016_06_15,2016_06_14,2016_06_13,2016_06_12,2016_06_11,2016_06_09,2016_06_07,2016_06_06,2016_06_05,2016_06_04,2016_06_03,2016_06_02,2016_06_01,2016_05_31,2016_05_30,2016_05_29,2016_05_28,2016_05_27,2016_05_26,2016_05_25,2016_05_24,2016_05_23,2016_05_22,2016_05_20,2016_05_19,2016_05_18,2015_11_04,2015_11_03,2014_11_26,2014_11_25,2014_07_24,2014_07_23,2014_07_22,2014_07_21,2014_07_20,2014_07_19,2014_07_18,2014_07_17,2014_07_16,2014_07_15,2014_07_14,2014_07_13,2014_07_12,2014_07_11,2014_07_10,2014_07_09,2014_07_08,2014_07_07,2014_07_06,2014_07_05,2014_07_04,2014_07_03,2014_07_02,2014_07_01,2014_06_30,2014_06_29,2014_06_28,2014_06_27,2014_06_26,2014_06_25,2014_06_24,2014_06_23,2014_06_22,2014_06_21,2014_06_20,2014_06_19,2014_06_18,2014_06_17,2014_06_16,2014_06_15,2014_06_14,2014_06_13,2014_06_12,2014_06_11,2014_06_10,2014_06_09,2014-06-24
"RUM, WHITE, BOTTLE",10,6,-3,1,7,7,7,7,7,7,5,0.0,7,7,7,7,7,0.0,7,7.0,7,7.0,0.0,7.0,7,0.0,7,7.0,7,7,0.0,7,7,7,7,7,7,7,7,7,7,0.0,7,6,6,6,6,6,6.0,5,5.0,7,7,7,7,0.0,7,5,0.0,6,6,6,6,7,7,0.0,0.0,0.0,0.0,7,7,7,7,0.0,7,7,7,6,6,6.0,7,0.0,7,0.0,7.0,7.0,7.0,0.0,0.0,7,7,7,7,7,7,7.0,7,7,7.0,7,6,7,7,6,6,6,6.0,6,6,7,6,6,6,6,6,7,7,7,7,7,0.0,7.0,7.0,0.0,7.0,7.0,6.0,6,6.0,7.0,7.0,7,0.0,6,6.0,6.0,6.0,0.0,7,7,24.0,24.0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,19,20,21,21,21,21,21,21,21,21,21,21,21,5,21,21,19
"Red Wine, European, bottle",48,72,24,0,72,72,75,72,73,73,72,12.0,74,73,74,75,67,18.0,70,15.0,72,73.0,17.0,13.0,70,25.0,69,67.0,67,69,0.0,68,20,70,72,71,71,71,71,71,26,0.0,71,33,18,73,73,73,16.0,62,29.0,15,69,71,71,0.0,72,65,10.0,77,76,78,78,75,54,0.0,0.0,0.0,0.0,73,72,52,72,0.0,73,74,72,72,66,69.0,67,0.0,30,0.0,15.0,17.0,55.0,0.0,30.0,70,71,71,70,70,69,70.0,70,19,68.0,70,63,70,70,70,69,67,32.0,71,69,68,68,68,67,68,68,14,57,60,58,57,0.0,58.0,58.0,38.0,58.0,58.0,58.0,56,56.0,56.0,57.0,56,0.0,55,55.0,55.0,53.0,0.0,7,8,24.0,24.0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
"Shop Milk, whole milk",15,15,0,0,15,15,15,15,15,15,15,0.0,15,15,15,15,15,15.0,15,15.0,15,15.0,15.0,15.0,15,15.0,15,15.0,15,15,0.0,15,15,15,15,15,15,15,15,15,15,0.0,15,15,15,15,15,15,14.0,14,14.0,14,14,14,14,0.0,14,13,14.0,14,14,14,14,14,14,0.0,0.0,0.0,0.0,14,14,14,14,0.0,14,14,14,14,14,14.0,14,0.0,14,0.0,14.0,14.0,14.0,0.0,0.0,14,14,14,14,14,14,14.0,14,14,14.0,14,14,14,14,14,14,14,14.0,14,14,14,14,14,14,14,14,14,14,14,14,14,0.0,14.0,14.0,0.0,14.0,14.0,14.0,14,14.0,14.0,14.0,14,0.0,14,14.0,14.0,14.0,0.0,14,14,17.0,17.0,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
"Shop Milk,semi-skimmed, per 2 pints/1.136 litre",12,11,-1,0,11,11,11,11,11,11,11,0.0,11,11,11,11,11,11.0,11,11.0,11,11.0,11.0,11.0,11,11.0,11,11.0,11,11,0.0,11,11,11,11,11,11,11,11,11,11,0.0,11,11,11,11,11,11,11.0,11,11.0,11,11,11,11,0.0,11,10,11.0,11,11,11,11,11,11,0.0,0.0,0.0,0.0,11,11,11,11,0.0,11,11,11,11,11,11.0,11,0.0,11,0.0,11.0,11.0,11.0,0.0,0.0,11,11,11,11,11,11,11.0,11,11,11.0,11,11,11,11,11,11,11,11.0,11,11,11,11,11,11,11,11,11,11,11,11,11,0.0,11.0,11.0,0.0,11.0,11.0,11.0,11,11.0,11.0,11.0,11,0.0,11,11.0,11.0,11.0,0.0,11,11,13.0,13.0,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,1,16,16,16,16
"Spreadable butter, 500g, 40-70% butter content",44,57,13,0,57,57,57,57,57,57,57,0.0,57,57,57,57,57,57.0,57,57.0,57,57.0,57.0,41.0,57,48.0,57,24.0,57,57,0.0,57,50,57,57,57,57,57,57,57,57,0.0,57,57,57,57,57,57,57.0,57,57.0,57,57,56,56,0.0,56,49,56.0,57,57,57,52,52,52,0.0,0.0,0.0,0.0,51,52,52,52,0.0,52,52,52,52,52,52.0,52,0.0,52,0.0,52.0,52.0,52.0,0.0,0.0,52,52,52,52,52,52,52.0,52,52,52.0,52,50,52,52,52,52,52,52.0,49,49,49,49,49,49,49,49,24,49,49,49,49,0.0,49.0,49.0,0.0,49.0,49.0,49.0,49,49.0,49.0,49.0,49,0.0,49,49.0,49.0,50.0,0.0,48,48,24.0,24.0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
"Strawberries, per kg or per punnet",21,1,-20,0,1,2,2,1,1,1,1,0.0,2,1,1,1,1,1.0,1,1.0,1,1.0,1.0,0.0,1,1.0,199,39.0,195,195,0.0,212,71,213,214,212,212,212,212,214,181,0.0,160,181,5,5,5,5,5.0,5,5.0,5,5,5,5,0.0,5,5,5.0,5,5,5,5,5,5,0.0,0.0,0.0,0.0,5,5,5,5,0.0,5,5,5,5,6,6.0,6,0.0,6,0.0,6.0,6.0,6.0,0.0,0.0,6,6,6,6,5,6,6.0,6,6,6.0,6,6,6,6,6,6,6,6.0,6,6,6,6,6,6,6,6,5,5,5,5,5,0.0,6.0,6.0,0.0,6.0,6.0,6.0,5,5.0,5.0,5.0,5,0.0,5,3.0,3.0,3.0,0.0,3,3,1.0,1.0,2,2,5,5,5,5,5,5,5,5,5,6,7,8,8,8,8,8,7,7,7,7,7,7,7,6,6,6,6,6,5,5,7,7,7,7,7,6,6,5,5,5,5,5,5,5,5,5,7
"Tea bags, per packet of 80, 250g",64,56,-6,2,58,58,48,58,58,56,56,0.0,56,56,57,57,57,57.0,57,57.0,57,57.0,57.0,0.0,57,56.0,56,48.0,56,56,0.0,54,44,55,55,55,55,55,55,56,47,0.0,55,55,55,56,56,56,56.0,48,64.0,64,48,64,64,0.0,64,56,48.0,64,64,64,64,64,64,0.0,0.0,0.0,0.0,63,63,48,64,0.0,64,64,64,64,64,0.0,317,0.0,213,0.0,48.0,40.0,48.0,0.0,0.0,317,317,317,316,316,316,316.0,316,48,71.0,72,66,72,69,72,72,72,48.0,72,72,72,48,72,72,72,72,72,72,72,72,71,0.0,71.0,71.0,0.0,71.0,71.0,71.0,71,71.0,71.0,71.0,71,0.0,71,71.0,71.0,71.0,0.0,48,48,24.0,24.0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
"Vodka, bottle",27,31,5,1,32,31,31,32,32,32,32,0.0,31,31,31,31,30,30.0,30,30.0,31,31.0,31.0,0.0,31,31.0,30,30.0,30,30,0.0,31,18,31,31,31,31,31,31,31,31,0.0,31,29,29,28,29,29,29.0,26,26.0,31,31,31,31,0.0,31,27,31.0,31,31,31,31,31,30,0.0,0.0,0.0,0.0,31,31,31,31,0.0,32,32,32,31,31,31.0,32,0.0,32,0.0,0.0,0.0,31.0,0.0,0.0,30,30,30,30,30,30,30.0,31,31,31.0,29,27,29,29,28,28,28,0.0,29,29,29,28,28,28,27,27,27,28,28,28,27,0.0,27.0,28.0,0.0,16.0,29.0,29.0,29,29.0,29.0,29.0,29,0.0,29,29.0,29.0,29.0,0.0,29,29,24.0,24.0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,10,24,24,24
"Whisky, bottle",28,31,3,0,31,31,31,31,31,31,31,0.0,31,31,30,31,29,29.0,29,29.0,31,31.0,31.0,0.0,31,32.0,32,32.0,32,32,0.0,32,28,32,32,32,32,32,31,31,31,0.0,31,32,32,32,32,32,32.0,31,31.0,31,31,31,31,0.0,31,29,30.0,30,31,31,31,31,30,0.0,0.0,0.0,0.0,31,31,31,31,0.0,30,30,30,30,31,31.0,31,0.0,31,0.0,31.0,0.0,31.0,0.0,0.0,30,30,30,30,30,30,31.0,31,31,31.0,31,29,31,31,31,31,31,30.0,30,30,31,31,31,31,29,29,24,31,31,31,31,0.0,26.0,27.0,0.0,0.0,29.0,28.0,31,31.0,31.0,31.0,31,0.0,29,29.0,29.0,29.0,0.0,31,31,24.0,24.0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
"White Sliced Loaf, branded",16,11,-4,1,12,12,12,12,12,11,11,0.0,11,11,11,11,11,11.0,11,11.0,11,11.0,11.0,0.0,11,11.0,11,11.0,11,11,0.0,11,11,11,11,11,11,11,11,11,11,0.0,11,11,11,11,12,12,12.0,12,12.0,12,12,12,12,0.0,12,12,12.0,12,12,12,12,12,12,0.0,0.0,0.0,0.0,12,12,12,12,0.0,12,12,12,14,14,14.0,14,0.0,14,0.0,14.0,0.0,14.0,0.0,0.0,14,14,14,14,14,14,14.0,14,14,14.0,14,14,14,14,14,14,14,14.0,14,14,14,14,14,14,14,14,14,14,14,14,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,14.0,14.0,14.0,14,0.0,14,14.0,5.0,14.0,0.0,14,14,24.0,24.0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
"White Wine, European, bottle",54,88,34,0,88,92,92,89,85,88,85,0.0,88,89,87,87,83,14.0,83,14.0,87,14.0,14.0,0.0,85,13.0,84,15.0,82,84,0.0,85,19,85,86,86,86,86,89,88,14,0.0,66,74,83,87,85,85,14.0,52,76.0,34,88,87,87,0.0,89,75,33.0,73,89,89,88,90,91,0.0,0.0,0.0,0.0,88,85,24,86,0.0,87,87,86,55,85,85.0,85,0.0,19,0.0,18.0,0.0,73.0,0.0,0.0,79,80,78,77,73,72,73.0,73,36,34.0,79,74,82,81,80,82,83,15.0,77,79,79,74,75,76,75,76,10,64,60,61,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57,55.0,55.0,57.0,58,0.0,58,52.0,0.0,54.0,0.0,5,7,24.0,24.0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
"Wholemeal Sliced Loaf, branded",14,11,-3,0,11,11,11,11,11,11,11,0.0,11,11,11,11,11,11.0,11,11.0,11,0.0,0.0,0.0,11,0.0,11,0.0,11,11,0.0,11,9,11,11,11,11,11,11,11,11,0.0,9,9,9,9,9,9,9.0,9,9.0,9,9,9,9,0.0,9,8,9.0,9,9,9,9,9,9,0.0,0.0,0.0,0.0,9,9,9,9,0.0,9,9,9,11,11,11.0,11,0.0,11,0.0,11.0,0.0,11.0,0.0,0.0,11,11,11,11,11,11,7.0,11,11,0.0,11,11,11,11,11,11,11,11.0,11,11,11,11,11,11,11,11,11,11,11,11,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,11.0,11.0,11.0,11,0.0,11,0.0,0.0,11.0,0.0,11,11,24.0,24.0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
"Yoghurt, small individual",23,19,-4,0,19,19,19,19,19,19,19,0.0,19,19,19,19,19,20.0,20,20.0,23,23.0,23.0,0.0,23,23.0,23,23.0,24,24,0.0,24,20,24,24,24,24,24,24,22,24,0.0,24,24,24,24,24,24,24.0,24,24.0,24,24,24,24,0.0,24,24,24.0,24,24,24,24,24,24,0.0,0.0,0.0,0.0,24,24,24,24,0.0,24,24,24,24,24,24.0,24,0.0,24,0.0,24.0,0.0,24.0,0.0,0.0,24,24,24,24,24,24,0.0,24,24,24.0,24,24,24,24,24,24,24,24.0,24,24,24,24,24,25,24,24,24,24,24,24,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,25.0,25.0,25.0,25,0.0,25,0.0,0.0,25.0,0.0,25,25,22.0,22.0,24,24,24,24,24,24,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,15,24,24,24,24,24,24,24,24,24
Yoghurt/Fromage Frais,27,28,1,0,28,28,28,28,28,28,29,0.0,29,29,29,29,29,29.0,29,29.0,29,29.0,29.0,0.0,29,29.0,29,29.0,29,29,0.0,29,23,29,29,29,29,29,29,29,29,0.0,29,27,29,29,29,29,29.0,29,29.0,29,29,29,29,0.0,29,29,28.0,27,28,27,28,26,26,0.0,0.0,0.0,0.0,27,26,26,26,0.0,29,29,29,29,29,29.0,29,0.0,29,0.0,29.0,0.0,29.0,0.0,0.0,29,29,29,29,29,29,0.0,29,29,29.0,29,29,29,29,29,29,29,29.0,29,29,29,29,29,29,29,29,29,29,29,29,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,30.0,19.0,19.0,30,0.0,30,0.0,0.0,29.0,0.0,30,30,24.0,24.0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,15,24,24,24,24,24,24,24,24,24
