ONS_ITEM_NAME,MEAN_COUNT,MEAN_7DAY,Dif:TODAY-MEAN,Dif:TODAY-7DAYMEAN,2016_11_02,2016_11_01,2016_10_31,2016_10_30,2016_10_29,2016_10_28,2016_10_27,2016_10_26,2016_10_25,2016_10_24,2016_10_19,2016_10_18,2016_10_17,2016_10_16,2016_10_15,2016_10_14,2016_10_12,2016_10_11,2016_10_10,2016_10_09,2016_10_08,2016_10_07,2016_10_06,2016_10_05,2016_10_04,2016_10_03,2016_09_23,2016_09_22,2016_09_21,2016_09_20,2016_09_19,2016_09_18,2016_09_17,2016_09_16,2016_09_15,2016_09_14,2016_09_13,2016_09_11,2016_09_09,2016_09_07,2016_09_06,2016_09_05,2016_09_04,2016_09_03,2016_09_02,2016_09_01,2016_08_31,2016_08_30,2016_08_29,2016_08_28,2016_08_27,2016_08_26,2016_08_25,2016_08_24,2016_08_23,2016_08_22,2016_08_21,2016_08_20,2016_08_19,2016_08_18,2016_08_17,2016_08_16,2016_08_15,2016_08_13,2016_08_12,2016_08_11,2016_08_10,2016_08_09,2016_08_08,2016_08_07,2016_08_06,2016_08_05,2016_08_04,2016_08_03,2016_08_02,2016_08_01,2016_07_25,2016_07_24,2016_07_23,2016_07_22,2016_07_20,2016_07_15,2016_07_13,2016_07_12,2016_07_11,2016_07_10,2016_07_09,2016_07_08,2016_07_07,2016_07_06,2016_07_05,2016_07_04,2016_07_03,2016_07_02,2016_07_01,2016_06_30,2016_06_29,2016_06_28,2016_06_27,2016_06_26,2016_06_25,2016_06_24,2016_06_23,2016_06_22,2016_06_21,2016_06_20,2016_06_19,2016_06_18,2016_06_17,2016_06_16,2016_06_15,2016_06_14,2016_06_13,2016_06_12,2016_06_11,2016_06_09,2016_06_07,2016_06_06,2016_06_05,2016_06_04,2016_06_03,2016_06_02,2016_06_01,2016_05_31,2016_05_30,2016_05_29,2016_05_28,2016_05_27,2016_05_26,2016_05_25,2016_05_24,2016_05_23,2016_05_22,2016_05_20,2016_05_19,2016_05_18,2015_11_04,2015_11_03,2014_11_26,2014_11_25,2014_07_24,2014_07_23,2014_07_22,2014_07_21,2014_07_20,2014_07_19,2014_07_18,2014_07_17,2014_07_16,2014_07_15,2014_07_14,2014_07_13,2014_07_12,2014_07_11,2014_07_10,2014_07_09,2014_07_08,2014_07_07,2014_07_06,2014_07_05,2014_07_04,2014_07_03,2014_07_02,2014_07_01,2014_06_30,2014_06_29,2014_06_28,2014_06_27,2014_06_26,2014_06_25,2014_06_24,2014_06_23,2014_06_22,2014_06_21,2014_06_20,2014_06_19,2014_06_18,2014_06_17,2014_06_16,2014_06_15,2014_06_14,2014_06_13,2014_06_12,2014_06_11,2014_06_10,2014_06_09,2014-06-24
Fizzy bottled drink,84,137,40,-13,124,140,141,139,139,139,139,0.0,140,142,142,142,142,85.0,142,85.0,142,85.0,85.0,0.0,142,85.0,85,85.0,142,142,0.0,144,130,143,143,142,142,140,140,140,140,0.0,140,85,85,138,140,140,136.0,85,84.0,84,135,135,135,0.0,136,117,136.0,140,139,139,139,140,141,0.0,0.0,0.0,0.0,143,86,86,141,0.0,141,141,141,86,142,92.0,94,0.0,96,0.0,95.0,0.0,85.0,0.0,0.0,95,95,95,94,94,95,0.0,96,96,86.0,96,94,96,96,94,94,94,94.0,96,86,96,97,97,97,96,97,97,99,98,98,98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,0.0,0.0,0.0,101,0.0,101,0.0,0.0,0.0,0.0,86,86,24.0,24.0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,17,24,24,24,24,24,24,24,24,24
"Fresh Veg, Onions, per kg",10,11,1,0,11,11,11,11,11,11,11,0.0,11,11,11,11,11,11.0,11,0.0,11,11.0,11.0,0.0,11,11.0,11,11.0,11,11,11.0,11,11,11,10,10,10,10,10,10,10,8.0,10,10,10,10,10,10,10.0,10,10.0,10,10,10,10,10.0,10,10,11.0,11,11,11,11,11,11,0.0,11.0,11.0,11.0,11,11,11,11,0.0,11,11,11,11,11,11.0,10,10.0,10,10.0,10.0,10.0,10.0,0.0,10.0,10,10,10,10,10,10,10.0,10,10,10.0,10,10,10,10,10,10,10,10.0,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10,10.0,11.0,11.0,11,0.0,11,11.0,11.0,10.0,0.0,10,10,14.0,14.0,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0,11,11,1,11,11,11,11
"Fresh Veg, Tomatoes, per kg",24,22,-1,1,23,22,22,23,22,22,23,23.0,24,24,24,24,23,22.0,23,25.0,26,26.0,27.0,26.0,25,26.0,25,25.0,25,25,25.0,25,26,26,26,26,26,26,26,25,26,0.0,26,26,26,26,26,26,26.0,26,26.0,26,26,26,26,26.0,26,25,26.0,26,25,26,26,26,27,0.0,25.0,25.0,26.0,24,25,26,26,0.0,26,26,27,25,27,25.0,26,26.0,25,26.0,25.0,26.0,26.0,0.0,26.0,26,25,26,26,26,26,26.0,26,25,25.0,25,25,26,26,25,25,25,25.0,25,25,25,25,25,25,25,25,24,24,24,24,25,25.0,25.0,24.0,24.0,25.0,24.0,25.0,24,25.0,26.0,25.0,25,0.0,26,25.0,24.0,25.0,0.0,25,25,24.0,24.0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,0,24,24,24,24,24,24,24
"Fresh/Chilled Orange Juice, eg. Tropicana",27,29,2,0,29,29,29,29,29,29,29,29.0,29,29,29,29,29,29.0,29,29.0,29,29.0,29.0,29.0,29,29.0,29,29.0,29,29,29.0,29,29,29,29,29,29,29,29,29,29,0.0,29,29,29,29,29,29,29.0,29,29.0,29,29,28,28,28.0,29,28,29.0,29,30,29,30,29,30,0.0,29.0,29.0,30.0,29,29,29,29,0.0,29,29,29,29,27,27.0,27,27.0,27,27.0,28.0,28.0,28.0,0.0,27.0,27,27,27,27,27,27,27.0,27,27,27.0,27,25,27,27,28,28,27,27.0,27,27,28,27,27,27,27,27,27,27,29,29,29,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29,29.0,29.0,29.0,29,0.0,29,29.0,29.0,29.0,0.0,29,29,24.0,24.0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,15,24,24,24,24,24,24,24,24,24
"Fruit Juice, not orange, eg. apple",18,18,0,0,18,18,18,18,18,18,18,0.0,18,18,18,18,18,18.0,18,18.0,18,18.0,18.0,0.0,18,18.0,18,18.0,18,18,0.0,18,18,18,18,18,18,18,18,18,18,0.0,18,18,18,18,18,18,18.0,18,18.0,18,18,18,18,0.0,19,16,19.0,19,19,19,19,19,19,0.0,0.0,0.0,0.0,19,19,19,19,0.0,19,19,19,19,19,19.0,19,0.0,19,0.0,19.0,0.0,19.0,0.0,0.0,19,19,19,19,19,19,0.0,19,19,19.0,19,16,19,19,19,19,19,19.0,19,19,19,19,19,19,19,19,19,19,20,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,9.0,0.0,0.0,20,0.0,20,0.0,0.0,0.0,0.0,20,20,1.0,1.0,16,16,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
"Grapes, per kg",9,11,2,0,11,11,11,11,11,11,11,11.0,11,11,9,9,9,9.0,9,9.0,9,9.0,9.0,9.0,9,9.0,9,9.0,9,9,10.0,11,11,11,12,12,12,12,12,12,11,0.0,11,13,13,13,13,13,13.0,13,13.0,13,13,13,13,13.0,13,12,13.0,13,13,13,13,13,13,0.0,13.0,13.0,13.0,13,11,11,11,0.0,11,11,11,11,10,10.0,8,8.0,8,8.0,8.0,8.0,8.0,0.0,7.0,7,7,7,7,7,7,7.0,9,9,9.0,9,9,9,8,8,8,8,8.0,8,7,7,6,6,6,6,6,6,6,8,8,8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8,8.0,7.0,7.0,7,0.0,7,7.0,7.0,8.0,0.0,8,8,10.0,12.0,12,12,9,9,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,10,10,10,10,10,10,10,9
"Lager, 4 bottles, 4.3%-7.5% ABV",85,113,29,1,114,113,113,114,114,114,114,48.0,114,114,113,114,116,116.0,116,117.0,117,117.0,24.0,117.0,117,117.0,118,118.0,118,118,48.0,118,118,118,118,117,117,117,117,117,115,0.0,116,118,116,117,117,117,117.0,118,48.0,48,118,118,118,118.0,117,113,117.0,116,116,116,116,116,115,0.0,108.0,111.0,110.0,115,116,24,118,0.0,118,48,118,118,119,119.0,119,118.0,119,118.0,119.0,48.0,48.0,0.0,118.0,118,118,118,118,118,118,118.0,117,48,117.0,118,116,118,118,118,118,118,118.0,118,118,118,118,118,118,118,117,117,118,119,119,118,118.0,118.0,118.0,118.0,118.0,118.0,118.0,118,118.0,118.0,118.0,118,0.0,116,116.0,116.0,114.0,0.0,48,48,24.0,24.0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
Plain Biscuits (eg. Digestive),166,122,-44,0,122,122,122,122,122,122,122,0.0,121,120,124,125,126,126.0,126,126.0,125,125.0,48.0,125.0,125,125.0,125,125.0,125,125,44.0,126,126,126,125,125,125,124,124,123,123,0.0,124,4641,124,124,124,124,48.0,120,48.0,48,120,120,120,48.0,120,114,48.0,119,120,120,4992,4982,396,0.0,0.0,0.0,0.0,119,119,48,95,0.0,120,120,120,120,120,120.0,1464,0.0,1917,0.0,429.0,32.0,0.0,0.0,32.0,32,32,30,30,30,30,30.0,30,30,30.0,30,23,30,30,30,30,30,30.0,30,30,30,30,30,30,30,30,30,30,30,30,30,30.0,30.0,30.0,30.0,30.0,31.0,31.0,31,31.0,31.0,31.0,31,0.0,31,31.0,31.0,31.0,0.0,31,31,22.0,22.0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,1,24,24,24,24,24,24,24,24,24
"Potatoes, new",7,8,1,0,8,8,8,8,8,8,8,8.0,8,8,8,8,8,8.0,8,8.0,8,8.0,8.0,8.0,8,8.0,8,8.0,8,8,0.0,8,8,8,8,6,6,6,6,6,6,0.0,6,6,6,6,6,6,6.0,6,6.0,6,6,6,6,3.0,6,6,5.0,5,5,5,5,5,5,0.0,0.0,0.0,0.0,5,5,5,5,0.0,5,5,5,5,5,5.0,5,0.0,5,0.0,5.0,5.0,5.0,0.0,5.0,5,5,5,5,5,5,6.0,6,6,6.0,6,6,6,6,6,6,6,6.0,6,6,6,7,7,7,7,7,7,7,7,7,7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7,7.0,8.0,8.0,8,0.0,8,8.0,8.0,8.0,0.0,8,8,10.0,10.0,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,5,9,9,9,8
"Potatoes, old, white",9,8,-1,0,8,8,8,8,8,8,8,8.0,8,8,7,7,7,7.0,7,7.0,7,7.0,0.0,7.0,7,7.0,7,7.0,7,7,0.0,7,7,7,7,8,8,8,8,8,8,0.0,8,8,8,8,8,8,0.0,8,0.0,8,8,8,8,8.0,8,8,8.0,8,8,8,8,8,8,0.0,0.0,0.0,0.0,8,8,8,8,0.0,8,8,8,8,8,8.0,8,0.0,8,0.0,8.0,8.0,8.0,0.0,9.0,9,9,9,9,9,9,10.0,10,10,10.0,10,10,10,10,10,10,10,10.0,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10,10.0,11.0,11.0,11,0.0,11,11.0,11.0,11.0,0.0,11,11,0.0,0.0,14,14,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
